amount,year,month,day,category_Bills & Fees,category_Food & Drinks,category_Transport,account_Cash,account_Metro Card,account_Salary Bank,account_Savings Bank,type_EXPENSE,type_INCOME,type_TRANSFER,Cluster,Label,Label_Pred,Status
4000.0,2024,8,4,True,False,False,False,False,True,False,False,True,False,0,1,1,Anomali
0.0,2024,7,20,False,False,True,False,False,False,True,False,True,False,1,0,0,Normal
41000.0,2024,7,12,False,False,True,False,False,True,False,False,True,False,1,0,0,Normal
71000.0,2024,6,30,False,False,True,False,False,False,True,False,True,False,1,0,0,Normal
35000.0,2024,6,17,True,False,False,False,False,True,False,False,True,False,0,1,1,Anomali
100000.0,2024,6,14,True,False,False,True,False,False,False,False,True,False,0,1,1,Anomali
200000.0,2024,6,7,True,False,False,False,False,True,False,False,True,False,0,1,1,Anomali
100000.0,2024,6,7,True,False,False,True,False,False,False,False,True,False,0,1,1,Anomali
35000.0,2024,6,5,True,False,False,False,False,True,False,False,True,False,0,1,1,Anomali
200000.0,2024,6,5,True,False,False,False,False,True,False,False,True,False,0,1,1,Anomali
70000.0,2024,6,5,True,False,False,False,False,True,False,False,True,False,0,1,1,Anomali
11000.0,2024,5,29,True,False,False,False,False,True,False,False,True,False,0,1,1,Anomali
80000.0,2024,5,6,False,False,True,False,False,True,False,False,True,False,1,0,0,Normal
35000.0,2024,4,30,True,False,False,False,False,True,False,False,True,False,0,1,1,Anomali
100000.0,2024,4,27,True,False,False,False,False,True,False,False,True,False,0,1,1,Anomali
300000.0,2024,4,27,True,False,False,False,False,True,False,False,True,False,0,1,1,Anomali
44020.0,2024,4,22,False,False,True,False,False,False,True,False,True,False,1,0,0,Normal
30000.0,2024,4,22,True,False,False,True,False,False,False,False,True,False,0,1,1,Anomali
89520.0,2024,4,20,True,False,False,False,False,True,False,False,True,False,0,1,1,Anomali
761440.0,2024,4,4,True,False,False,False,False,True,False,False,True,False,0,1,1,Anomali
35000.0,2024,4,3,True,False,False,False,False,True,False,False,True,False,0,1,1,Anomali
60000.0,2024,4,2,True,False,False,True,False,False,False,False,True,False,0,1,1,Anomali
100000.0,2024,4,1,True,False,False,True,False,False,False,False,True,False,0,1,1,Anomali
35000.0,2024,3,28,True,False,False,False,False,True,False,False,True,False,0,1,1,Anomali
35000.0,2024,3,21,True,False,False,False,False,True,False,False,True,False,0,1,1,Anomali
5530.0,2024,3,6,False,False,True,False,False,False,True,False,True,False,1,0,0,Normal
35000.0,2024,2,29,False,False,True,False,False,True,False,False,True,False,1,0,0,Normal
0.0,2024,2,29,False,False,True,False,False,False,True,False,True,False,1,0,0,Normal
940000.0,2024,2,26,False,False,True,False,False,False,True,False,True,False,1,0,0,Normal
130000.0,2024,2,17,False,False,True,False,False,False,True,False,True,False,1,0,0,Normal
2000.0,2024,2,12,False,False,True,False,True,False,False,False,True,False,1,0,0,Normal
2000.0,2024,2,9,False,False,True,False,False,False,True,False,True,False,1,0,0,Normal
4450.0,2024,2,3,True,False,False,False,False,False,True,False,True,False,0,1,1,Anomali
100000.0,2024,1,31,True,False,False,False,False,False,True,False,True,False,0,1,1,Anomali
35000.0,2024,1,31,True,False,False,False,False,False,True,False,True,False,0,1,1,Anomali
200000.0,2024,1,30,True,False,False,False,False,False,True,False,True,False,0,1,1,Anomali
100000.0,2024,1,29,True,False,False,False,False,False,True,False,True,False,0,1,1,Anomali
26000.0,2024,1,27,False,False,True,True,False,False,False,False,True,False,1,0,0,Normal
16000.0,2024,1,11,False,False,True,True,False,False,False,False,True,False,1,0,0,Normal
200000.0,2024,1,9,True,False,False,False,False,False,True,False,True,False,0,1,1,Anomali
30000.0,2023,12,29,True,False,False,False,False,False,True,False,True,False,0,1,1,Anomali
35000.0,2023,12,28,True,False,False,False,False,False,True,False,True,False,0,1,1,Anomali
30000.0,2023,12,25,False,False,True,False,False,False,True,False,True,False,1,0,0,Normal
200000.0,2023,12,22,True,False,False,True,False,False,False,False,True,False,0,1,1,Anomali
700000.0,2023,12,22,True,False,False,False,False,False,True,False,True,False,0,1,1,Anomali
170560.0,2023,12,22,True,False,False,False,False,False,True,False,True,False,0,1,1,Anomali
40000.0,2023,12,22,False,True,False,False,False,False,True,False,True,False,0,1,1,Anomali
83660.0,2023,12,21,True,False,False,False,False,False,True,False,True,False,0,1,1,Anomali
3000.0,2023,12,19,True,False,False,False,False,False,True,False,True,False,0,1,1,Anomali
300000.0,2023,12,18,False,False,True,True,False,False,False,False,True,False,1,0,0,Normal
